Name,Symbol,Holdings,Stake,Mkt. price,Value,Pct of portfolio
Ally Financial Inc,ALLY,"29,000,000",9.60%,$36.65 ,"$1,062,850,000 ",0.30%
Amazon.com Inc,AMZN,"10,000,000",0.10%,$157.35 ,"$1,573,500,000 ",0.40%
American Express Company,AXP,"151,610,700",20.80%,$187.74 ,"$28,463,392,818 ",7.70%
Aon PLC,AON,"4,100,000",2.00%,$298.27 ,"$1,222,907,000 ",0.30%
Apple Inc,AAPL,"915,560,382",5.90%,$194.51 ,"$178,085,649,903 ",48.20%
Atlanta Braves Holdings Inc Series C,BATRK,"223,645",0.40%,$40.94 ,"$9,156,026 ",0.00%
Bank of America Corp,BAC,"1,032,852,006",13.10%,$33.05 ,"$34,135,758,798 ",9.20%
BYD Co. Ltd,BYDDF,"87,613,142",8.00%,$25.25 ,"$2,212,231,836 ",0.60%
Capital One Financial Corp.,COF,"12,471,030",3.30%,$132.64 ,"$1,654,157,419 ",0.40%
Charter Communications Inc,CHTR,"3,828,941",2.60%,$364.83 ,"$1,396,912,545 ",0.40%
Chevron Corporation,CVX,"110,248,289",5.90%,$146.80 ,"$16,184,448,825 ",4.40%
Citigroup Inc,C,"55,244,797",2.90%,$53.34 ,"$2,946,757,472 ",0.80%
Coca-Cola Co,KO,"400,000,000",9.30%,$58.86 ,"$23,544,000,000 ",6.40%
DR Horton Inc,DHI,"5,969,714",1.80%,$140.48 ,"$838,625,423 ",0.20%
Davita Inc,DVA,"36,095,570",39.50%,$106.58 ,"$3,847,065,851 ",1.00%
Diageo plc,DEO,"227,750",0.00%,$140.56 ,"$32,012,540 ",0.00%
Floor & Decor Holdings Inc,FND,"4,780,000",4.50%,$106.86 ,"$510,790,800 ",0.10%
Globe Life Inc,GL,"831,014",0.90%,$122.41 ,"$101,724,424 ",0.00%
HP Inc,HPQ,"51,503,537",5.20%,$29.86 ,"$1,537,895,615 ",0.40%
Itochu Corporation,8001:TYO,"118,331,800",7.50%,$45.12 ,"$5,338,648,300 ",1.40%
Jefferies Financial Group Inc,JEF,"433,558",0.20%,$40.89 ,"$17,728,187 ",0.00%
Kraft Heinz Co,KHC,"325,634,818",26.50%,$37.03 ,"$12,058,257,311 ",3.30%
Kroger Co,KR,"50,000,000",7.00%,$46.27 ,"$2,313,500,000 ",0.60%
Lennar Corp Class B,LEN.B,"152,572",0.40%,$135.92 ,"$20,737,586 ",0.00%
Liberty Latin America Series A,LILA,"2,630,792",6.10%,$7.01 ,"$18,441,852 ",0.00%
Liberty Latin America Series C,LILAK,"1,284,020",0.80%,$7.09 ,"$9,103,702 ",0.00%
Liberty Formula One Series C,FWONK,"7,722,451",3.70%,$67.65 ,"$522,423,810 ",0.10%
Liberty SiriusXM Series A,LSXMA,"22,501,458",22.90%,$31.03 ,"$698,220,242 ",0.20%
Liberty SiriusXM Series C,LSXMK,"46,468,678",21.20%,$31.01 ,"$1,440,993,705 ",0.40%
Liberty Live Series A,LLYVA,"5,051,918",19.80%,$35.95 ,"$181,616,452 ",0.00%
Liberty Live Series C,LLYVK,"11,132,590",17.50%,$36.37 ,"$404,892,298 ",0.10%
Louisiana-Pacific Corp,LPX,"7,044,909",9.80%,$65.00 ,"$457,919,085 ",0.10%
Markel Group Inc,MKL,"158,715",1.20%,"$1,463.19 ","$232,230,201 ",0.10%
Marubeni Corp,8002:TYO,"141,000,200",8.30%,$16.86 ,"$2,377,278,188 ",0.60%
Mastercard Inc,MA,"3,986,648",0.40%,$435.84 ,"$1,737,540,664 ",0.50%
Mitsubishi Corp,8058:TYO,"119,497,600",8.30%,$17.08 ,"$2,041,023,095 ",0.60%
Mitsui & Co,8031:TYO,"125,022,300",8.10%,$40.12 ,"$5,015,278,616 ",1.40%
Moody’s Corp,MCO,"24,669,778",13.50%,$389.89 ,"$9,618,499,744 ",2.60%
Nu Holdings Ltd,NU,"107,118,784",2.30%,$9.26 ,"$991,919,940 ",0.30%
NVR Inc,NVR,"11,112",0.30%,"$6,958.00 ","$77,317,296 ",0.00%
Occidental Petroleum Corp,OXY,"243,715,804",27.80%,$57.65 ,"$14,050,216,101 ",3.80%
Paramount Global Class B,PARA,"93,730,975",15.30%,$13.77 ,"$1,290,675,526 ",0.30%
Sirius XM Holdings Inc,SIRI,"9,683,224",0.30%,$5.38 ,"$52,095,745 ",0.00%
Snowflake Inc,SNOW,"6,125,376",1.90%,$205.57 ,"$1,259,193,544 ",0.30%
SPDR S&P 500 ETF Trust,SPY,"39,400",0.00%,$486.21 ,"$19,156,674 ",0.00%
StoneCo Ltd,STNE,"10,695,448",3.40%,$17.68 ,"$189,095,521 ",0.10%
Sumitomo Corp,8053:TYO,"101,210,400",8.20%,$22.66 ,"$2,293,031,263 ",0.60%
T-Mobile Us Inc,TMUS,"5,242,000",0.50%,$162.41 ,"$851,353,220 ",0.20%
Vanguard 500 Index Fund ETF,VOO,"43,000",0.00%,$446.83 ,"$19,213,690 ",0.00%
"Verisign, Inc.",VRSN,"12,815,613",12.60%,$202.89 ,"$2,600,159,722 ",0.70%
Visa Inc,V,"8,297,460",0.40%,$271.23 ,"$2,250,520,076 ",0.60%
