Symbol,Company Name,Last Price,Change,% Change,Market Time,Volume,Avg Vol (3 month),Market Cap
NVDA,NVIDIA Corporation,613.7569,15.03,2.51%,3:17 PM EST,48.14M,42.41M,"1,515.98B"
TSM,Taiwan Semiconductor Manufacturing Company Limited,116.595,2.47,2.16%,3:17 PM EST,18.06M,10.50M,604.71B
AVGO,Broadcom Inc.,1252.8889,26.58,2.17%,3:17 PM EST,2.55M,3.36M,586.53B
ASML,ASML Holding N.V.,850.925,72.53,9.32%,3:17 PM EST,7.04M,895.12k,335.77B
AMD,"Advanced Micro Devices, Inc.",177.31,8.89,5.28%,3:17 PM EST,110.21M,64.36M,286.44B
INTC,Intel Corporation,48.865,-0.02,-0.05%,3:17 PM EST,36.55M,40.86M,206.01B
QCOM,QUALCOMM Incorporated,154.23,0.73,0.48%,3:17 PM EST,5.36M,8.65M,172.25B
TXN,Texas Instruments Incorporated,170.59,-3.75,-2.15%,3:17 PM EST,10.87M,5.89M,155.07B
AMAT,"Applied Materials, Inc.",174.81,7.76,4.65%,3:17 PM EST,6.99M,5.75M,145.28B
LRCX,Lam Research Corporation,846.99,16.6,2.00%,3:17 PM EST,1.29M,957.76k,111.63B
MU,"Micron Technology, Inc.",87.51,-0.02,-0.02%,3:17 PM EST,12.54M,13.84M,98.49B
ADI,"Analog Devices, Inc.",198.48,-2.89,-1.44%,3:17 PM EST,2.60M,3.21M,98.42B
KLAC,KLA Corporation,636.22,16.89,2.73%,3:16 PM EST,644.99k,937.15k,86.48B
ARM,Arm Holdings plc,75.74,-0.61,-0.80%,3:17 PM EST,5.20M,6.35M,77.65B
MRVL,"Marvell Technology, Inc.",71.97,1.37,1.94%,3:17 PM EST,9.38M,10.37M,62.22B
APH,Amphenol Corporation,101.5,3.56,3.63%,3:17 PM EST,4.29M,2.67M,60.73B
NXPI,NXP Semiconductors N.V.,221.2,-2.73,-1.22%,3:17 PM EST,1.47M,2.30M,57.02B
IFNNY,Infineon Technologies AG,38.04,0.05,0.13%,3:02 PM EST,113.63k,284.57k,49.59B
MCHP,Microchip Technology Incorporated,90.56,-1.43,-1.55%,3:17 PM EST,3.89M,5.16M,49.00B
TEL,TE Connectivity Ltd.,143.48,8.83,6.56%,3:16 PM EST,2.78M,1.59M,44.59B
STM,STMicroelectronics N.V.,45.73,-0.94,-2.01%,3:17 PM EST,4.21M,3.40M,41.26B
MRAAY,"Murata Manufacturing Co., Ltd.",10.49,0.03,0.29%,3:01 PM EST,215.63k,315.43k,39.79B
GFS,GLOBALFOUNDRIES Inc.,59.96,-0.46,-0.76%,3:16 PM EST,713.97k,1.51M,33.17B
ON,ON Semiconductor Corporation,75.555,-1.19,-1.56%,3:17 PM EST,4.99M,8.05M,32.54B
ATEYY,Advantest Corporation,41.81,1.96,4.92%,2:56 PM EST,166.49k,211.79k,30.81B
MPWR,"Monolithic Power Systems, Inc.",631,-11,-1.71%,3:15 PM EST,272.57k,512.27k,30.23B
KEYS,"Keysight Technologies, Inc.",155.55,0.51,0.33%,3:16 PM EST,525.23k,1.42M,27.23B
FTV,Fortive Corporation,74.14,-0.18,-0.24%,3:16 PM EST,1.20M,2.07M,26.06B
GLW,Corning Incorporated,30.45,0.15,0.50%,3:16 PM EST,3.23M,4.21M,25.98B
GRMN,Garmin Ltd.,125.322,-1.73,-1.36%,3:17 PM EST,315.33k,797.71k,23.98B
